J000	KMS-11
J001	HepG2 genetically modified using RNAi
J002	SK-N-SH
J003	GM10266
J004	K562
J005	K562 genetically modified using RNAi
J006	B cell female adult (27 years) and female adult (43 years)
J007	neurosphere embryo (15 weeks) originated from ganglionic eminence
J008	placenta embryo (16 weeks)
J009	foreskin keratinocyte male newborn (2-4 days)
J010	H1-hESC
J011	IMR-90 nuclear fraction
J012	ovary female adult (51 year)
J013	layer of hippocampus female adult (75 years)
J014	epithelial cell of proximal tubule
J015	placenta male embryo (16 weeks)
J016	muscle of trunk female embryo (120 days)
J017	epithelial cell of alveolus of lung NONE and female embryo (21 week)
J018	lower leg skin male adult (37 years)
J019	sigmoid colon female adult (53 years)
J020	HL-60
J021	esophagus female adult (30 years)
J022	mononuclear cell female adult (52 years)
J023	fibroblast of lung male adult (45 years)
J024	liver female adult (25 years)
J025	ACC112
J026	stomach female adult (53 years)
J027	subcutaneous adipose tissue female adult (53 years)
J028	chorion male embryo (16 weeks)
J029	chorion female embryo (40 weeks)
J030	HEK293 genetically modified using site-specific recombination originated from HEK293
J031	HepG2 genetically modified using CRISPR
J032	chorion
J033	middle frontal area 46 female adult (75 years)
J034	lung male adult (27 years) and male adult (35 years)
J035	HT1080 nuclear fraction
J036	transverse colon female adult (53 years)
J037	brain embryo (80 days)
J038	heart left ventricle male adult (34 years)
J039	bronchial epithelial cell
J040	HepG2
J041	GM12878
J042	subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)
J043	fibroblast of breast female adult (17 years)
J044	GM12878 cytosolic fraction
J045	myotube
J046	trophoblast cell originated from H1-hESC
J047	A549 cytosolic fraction
J048	spleen female adult (53 years)
J049	H9
J050	GM12891
J051	Loucy
J052	trophoblast male embryo (16 weeks)
J053	B cell female adult (27 years)
J054	ACHN
J055	NCI-H929
J056	upper lobe of left lung female adult (53 years)
J057	muscle of leg female embryo (110 days)
J058	spinal cord female embryo (113 days)
J059	chorionic villus male embryo (38 weeks)
J060	stomach male adult (37 years)
J061	HeLa-S3
J062	MCF-7
J063	colonic mucosa female adult (73 years)
J064	GM20000
J065	renal pelvis male embryo (97 days)
J066	smooth muscle cell originated from H9
J067	thymus male child (3 years)
J068	right atrium auricular region female adult (53 years)
J069	body of pancreas male adult (54 years)
J070	radial glial cell genetically modified using stable transfection originated from H9
J071	placental pericyte female newborn and male newborn
J072	colonic mucosa female adult (56 years)
J073	adipocyte originated from mesenchymal stem cell
J074	sigmoid colon male adult (54 years)
J075	kidney glomerular epithelial cell male adult (43 years) and male adult (62 years)
J076	MM.1S
J077	mammary epithelial cell female
J078	cerebellum female embryo (19 weeks) and female embryo (37 weeks)
J079	trophoblast embryo (22 weeks)
J080	natural killer cell male adult (37 years)
J081	muscle of trunk female embryo (121 day)
J082	common myeloid progenitor, CD34-positive female adult (27 years)
J083	mucosa of rectum female adult (50 years)
J084	spleen female adult (30 years)
J085	small intestine female adult (30 years)
J086	stomach smooth muscle female adult (84 years)
J087	fibroblast of the conjunctiva
J088	chorion embryo (16 weeks)
J089	GM19238
J090	heart right ventricle male child (3 years)
J091	gastrocnemius medialis male adult (37 years)
J092	neural progenitor cell originated from H9
J093	K562 genetically modified using CRISPR
J094	common myeloid progenitor, CD34-positive male adult (37 years)
J095	liver male adult (78 years)
J096	sigmoid colon male adult (37 years)
J097	endothelial cell of umbilical vein male newborn
J098	fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)
J099	liver male adult (32 years)
J100	KOPT-K1
J101	CD14-positive monocyte female
J102	mesenchymal stem cell of adipose
J103	GM19239
J104	skin of body female embryo (24 weeks) and male embryo (22 weeks)
J105	gastrocnemius medialis female adult (53 years)
J106	common myeloid progenitor, CD34-positive male adult (43 years)
J107	esophagus muscularis mucosa female adult (53 years)
J108	keratinocyte nuclear fraction female
J109	metanephros female embryo (20 weeks) and female embryo (24 weeks)
J110	VCaP
J111	thymus female embryo (110 days)
J112	common myeloid progenitor, CD34-positive male adult (36 years)
J113	OCI-LY1
J114	H9 G1 phase genetically modified using stable transfection
J115	neural cell
J116	amnion male embryo (16 weeks)
J117	K562 treated with interferon gamma for 30 minutes
J118	IMR-90 cytosolic fraction
J119	HS-27A
J120	heart right ventricle male adult (34 years)
J121	cardiac atrium fibroblast male child (2 years)
J122	OCI-LY3
J123	muscle layer of duodenum male adult (73 years)
J124	GM23338 male adult (53 years) originated from GM23248
J125	Karpas-422
J126	GM12865
J127	myoepithelial cell of mammary gland female adult (22 years)
J128	angular gyrus male adult (81 year)
J129	ovary female adult (53 years)
J130	subcutaneous adipose tissue male adult (37 years)
J131	HT-29
J132	vagina female adult (53 years)
J133	fibroblast of mammary gland female
J134	GM03348 genetically modified using transduction treated with 3 μg/mL doxycycline for 10 days
J135	HepG2 nuclear fraction
J136	AG09309
J137	parietal lobe female embryo (24 weeks) and male embryo (22 weeks)
J138	HCT116
J139	HEK293T
J140	SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours
J141	renal cortical epithelial cell female adult (69 years) and male adult (84 years)
J142	coronary artery female adult (53 years)
J143	neural stem progenitor cell originated from H9
J144	Panc1
J145	epithelial cell of prostate male
J146	heart left ventricle female adult (53 years)
J147	skeletal muscle myoblast male adult (22 years)
J148	thyroid gland female adult (51 year)
J149	ovary female adult (30 years)
J150	adrenal gland male adult (21 year)
J151	K562 nucleoplasmic fraction
J152	K562 treated with interferon gamma for 6 hours
J153	placental basal plate female embryo (40 weeks)
J154	right lung female embryo (105 days)
J155	naive thymus-derived CD4-positive, alpha-beta T cell male adult (26 years)
J156	endothelial cell of umbilical vein nuclear fraction male newborn
J157	T47D treated with 100 nM bisphenol A for 30 minutes
J158	lower leg skin female adult (53 years)
J159	neural stem progenitor cell originated from H1-hESC
J160	gastroesophageal sphincter female adult (51 year)
J161	lung female adult (30 years)
J162	muscle layer of duodenum male adult (59 years)
J163	peripheral blood mononuclear cell male adult (39 years)
J164	H9 genetically modified using stable transfection
J165	small intestine male embryo (91 day)
J166	right kidney female embryo (87 days)
J167	renal pelvis male embryo (108 days)
J168	foreskin fibroblast male newborn
J169	mole female
J170	CD4-positive, alpha-beta T cell male adult (21 year)
J171	HeLa-S3 nuclear fraction
J172	tibial nerve female adult (53 years)
J173	neutrophil
J174	adipocyte
J175	vagina female adult (51 year)
J176	CD14-positive monocyte male adult (21 year)
J177	H1-hESC cytosolic fraction
J178	heart left ventricle male child (3 years)
J179	prostate gland male adult (37 years)
J180	M059J
J181	CD4-positive, alpha-beta T cell
J182	mammary epithelial cell female adult (18 years)
J183	psoas muscle female adult (30 years)
J184	left kidney male embryo (87 days)
J185	layer of hippocampus male adult (73 years)
J186	Parathyroid adenoma male adult (62 years)
J187	sigmoid colon male adult (34 years)
J188	endocrine pancreas adult (59 years)
J189	leg bone male embryo (81 day)
J190	skeletal muscle satellite cell female adult originated from mesodermal cell
J191	esophagus squamous epithelium female adult (53 years)
J192	lung male child (3 years)
J193	melanocyte of skin male child (1 year) and male child (3 years)
J194	stomach female embryo (108 days)
J195	foreskin keratinocyte male newborn
J196	B cell male adult (37 years)
J197	PC-3
J198	ovary female adult (47 years)
J199	bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days
J200	IMR-90
J201	Peyer's patch female adult (53 years)
J202	A549 nuclear fraction
J203	GM08714
J204	uterine smooth muscle cell female adult (48 years) and female adult (50 years)
J205	cardiac ventricle fibroblast NONE and male adult (18 years)
J206	H54
J207	testis male adult (44 years)
J208	right cardiac atrium male adult (34 years)
J209	esophagus muscularis mucosa female adult (51 year)
J210	NB4
J211	brain male embryo (122 days)
J212	K562 treated with interferon alpha for 30 minutes
J213	layer of hippocampus male adult (81 year)
J214	MCF-7 genetically modified using stable transfection
J215	esophagus squamous epithelium male adult (37 years)
J216	choroid plexus epithelial cell
J217	adrenal gland female adult (30 years)
J218	SJCRH30
J219	articular chondrocyte of knee joint female adult (56 years) and male adult (64 years)
J220	mesenchymal stem cell originated from adipose tissue
J221	aorta male adult (34 years)
J222	myoepithelial cell of mammary gland female adult (33 years)
J223	common myeloid progenitor, CD34-positive
J224	K562 genetically modified using stable transfection
J225	HUES6
J226	substantia nigra female adult (75 years)
J227	heart male adult (34 years)
J228	kidney male adult (50 years)
J229	esophagus muscularis mucosa male adult (37 years)
J230	GM12878 nuclear fraction
J231	SK-N-DZ cytosolic fraction
J232	psoas muscle male adult (34 years)
J233	iPS-18a female adult (48 years)
J234	uterus female adult (51 year)
J235	subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)
J236	diencephalon female embryo (20 weeks) and male embryo (22 weeks)
J237	trophoblast female embryo (20 weeks)
J238	neural cell originated from H1-hESC
J239	CD8-positive, alpha-beta memory T cell
J240	pericardium fibroblast NONE and female embryo (20 weeks)
J241	testis male adult (37 years)
J242	hematopoietic multipotent progenitor cell
J243	mammary epithelial cell female adult (50 years)
J244	heart female embryo (117 days)
J245	skeletal muscle satellite cell female adult (64 years) and male adult (21 year)
J246	upper lobe of left lung male adult (54 years)
J247	placenta male embryo (85 days)
J248	breast epithelium female adult (53 years)
J249	muscle of arm male embryo (97 days)
J250	A375
J251	right kidney male embryo (91 day)
J252	germinal matrix male embryo (20 weeks)
J253	osteoblast
J254	melanocyte of skin female adult (52 years) and male adult (55 years)
J255	T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin
J256	bronchus fibroblast of lung
J257	kidney male adult (67 years)
J258	K562 cytosolic fraction
J259	body of pancreas male adult (37 years)
J260	esophagus squamous epithelium male adult (54 years)
J261	neurosphere female embryo (17 weeks) originated from cortex
J262	fibroblast of lung female child (11 year) and male adult (45 years)
J263	liver male adult (18 years)
J264	right lung male embryo (87 days)
J265	OCI-LY7
J266	endocrine pancreas male adult (46 years)
J267	muscle of back female embryo (115 days)
J268	small intestine male embryo (108 days)
J269	mesendoderm originated from H1-hESC
J270	hepatocyte originated from H9
J271	kidney female embryo (85 days)
J272	HT1080
J273	pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)
J274	DOHH2
J275	left lung male embryo (87 days)
J276	WI38
J277	Peyer's patch male adult (54 years)
J278	CMK
J279	ectodermal cell originated from embryonic stem cell
J280	H1-hESC nuclear fraction
J281	lung male embryo (54 days) and male embryo (58 days)
J282	K562 genetically modified using TALEN
J283	iPS DF 19.11 male newborn
J284	MCF 10A genetically modified using stable transfection treated with 0.01% ethanol for 36 hours
J285	keratinocyte female
J286	tibial nerve female adult (51 year)
J287	esophagus squamous epithelium female adult (51 year)
J288	right lobe of liver female adult (53 years)
J289	omental fat pad male adult (54 years)
J290	HUES48
J291	psoas muscle male child (3 years)
J292	HEK293
J293	esophagus male adult (34 years)
J294	neutrophil male
J295	neurosphere female embryo (17 weeks) originated from ganglionic eminence
J296	GM12801
J297	right kidney male embryo (96 days)
J298	SK-N-SH nuclear fraction
J299	mammary microvascular endothelial cell female adult (26 years)
J300	lung female embryo (120 days)
J301	GM12892
J302	SK-N-SH cytosolic fraction
J303	superior temporal gyrus male adult (84 years)
J304	adrenal gland male adult (34 years)
J305	muscle of leg female embryo (105 days)
J306	PC-9
J307	placenta embryo (56 days) and embryo (59 days)
J308	tongue female embryo (20 weeks) and female embryo (24 weeks)
J309	omental fat pad male adult (37 years)
J310	transverse colon male adult (37 years)
J311	brain female embryo (109 days)
J312	right renal cortex interstitium male embryo (105 days)
J313	foreskin melanocyte male newborn
J314	uterus female adult (53 years)
J315	brain female embryo (17 weeks)
J316	thyroid gland female adult (53 years)
J317	WERI-Rb-1
J318	thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)
J319	astrocyte
J320	lung female embryo (82 days)
J321	cardiac muscle cell
J322	A549
J323	mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9
J324	SU-DHL-6
J325	liver female embryo (20 weeks) and male embryo (22 weeks)
J326	sigmoid colon male child (3 years)
J327	adrenal gland female adult (53 years)
J328	heart embryo (101 day)
J329	stomach female embryo (40 weeks) and male embryo (36 weeks)
